                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:17:01 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.652 A,  11.903 V,  16.783 W
 Thu Apr 24 06:17:11 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.657 A,  11.903 V,  16.902 W
 Thu Apr 24 06:17:21 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
 Thu Apr 24 06:17:31 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.652 A,  11.880 V,  16.750 W
 Thu Apr 24 06:17:41 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.655 A,  11.903 V,  16.842 W
 Thu Apr 24 06:17:51 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.660 A,  11.903 V,  16.872 W
 Thu Apr 24 06:18:01 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.657 A,  11.903 V,  16.825 W
 Thu Apr 24 06:18:11 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.880 V,  16.810 W
 Thu Apr 24 06:18:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.652 A,  11.880 V,  16.827 W
 Thu Apr 24 06:18:31 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.880 V,  16.827 W
 Thu Apr 24 06:18:41 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.652 A,  11.903 V,  16.842 W
 Thu Apr 24 06:18:51 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.655 A,  11.903 V,  16.795 W
 Thu Apr 24 06:19:01 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.657 A,  11.880 V,  16.976 W
 Thu Apr 24 06:19:11 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.903 V,   0.657 A,  11.880 V,  16.916 W
 Thu Apr 24 06:19:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.657 A,  11.880 V,  16.857 W
 Thu Apr 24 06:19:31 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.660 A,  11.880 V,  16.869 W
 Thu Apr 24 06:19:41 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.660 A,  11.880 V,  16.780 W
 Thu Apr 24 06:19:51 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.880 V,  16.797 W
 Thu Apr 24 06:20:01 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.880 V,   0.655 A,  11.903 V,  16.854 W
 Thu Apr 24 06:20:11 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.655 A,  11.903 V,  16.736 W
 Thu Apr 24 06:20:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.652 A,  11.880 V,  16.797 W
 Thu Apr 24 06:20:31 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.880 V,   0.655 A,  11.903 V,  16.854 W
 Thu Apr 24 06:20:41 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.880 V,  16.827 W
 Thu Apr 24 06:20:51 2014, 00:1e:c0:81:71:33,  28.6 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.652 A,  11.880 V,  16.738 W
 Thu Apr 24 06:21:01 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.903 V,  16.812 W
 Thu Apr 24 06:21:11 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.652 A,  11.880 V,  16.738 W
 Thu Apr 24 06:21:21 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.903 V,   0.650 A,  11.903 V,  16.812 W
 Thu Apr 24 06:21:31 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.655 A,  11.903 V,  16.931 W
 Thu Apr 24 06:21:41 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.903 V,   0.657 A,  11.903 V,  16.931 W
 Thu Apr 24 06:21:51 2014, 00:1e:c0:81:71:33,  28.8 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.880 V,  16.797 W
 Thu Apr 24 06:22:01 2014, 00:1e:c0:81:71:33,  28.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.903 V,   0.662 A,  11.880 V,  16.916 W
 Thu Apr 24 06:22:11 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.657 A,  11.903 V,  16.842 W
 Thu Apr 24 06:22:21 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.660 A,  11.880 V,  16.839 W
 Thu Apr 24 06:22:31 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.880 V,  16.810 W
 Thu Apr 24 06:22:41 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.657 A,  11.880 V,  16.976 W
 Thu Apr 24 06:22:51 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.650 A,  11.880 V,  16.857 W
 Thu Apr 24 06:23:01 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.903 V,   0.655 A,  11.880 V,  16.768 W
 Thu Apr 24 06:23:11 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.652 A,  11.880 V,  16.780 W
 Thu Apr 24 06:23:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.903 V,   0.655 A,  11.903 V,  16.812 W
 Thu Apr 24 06:23:31 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.652 A,  11.903 V,  16.765 W
 Thu Apr 24 06:23:41 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.880 V,   0.655 A,  11.880 V,  16.810 W
 Thu Apr 24 06:23:51 2014, 00:1e:c0:81:71:33,  29.2 C,   0.964 V,     1,       0,       1,     1  0.752 A,  11.880 V,   0.652 A,  11.903 V,  16.706 W
 Thu Apr 24 06:24:01 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.880 V,   0.652 A,  11.880 V,  16.869 W
 Thu Apr 24 06:24:11 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.757 A,  11.880 V,   0.652 A,  11.903 V,  16.765 W
 Thu Apr 24 06:24:21 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.755 A,  11.880 V,   0.657 A,  11.880 V,  16.780 W
 Thu Apr 24 06:24:31 2014, 00:1e:c0:81:71:33,  29.1 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.903 V,   0.655 A,  11.903 V,  16.991 W
 Thu Apr 24 06:24:41 2014, 00:1e:c0:81:71:33,  29.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.880 V,   0.652 A,  11.903 V,  16.825 W
