                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:11:02 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.880 V,   0.642 A,  11.903 V,  17.003 W
 Thu Apr 24 06:11:12 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.642 A,  11.903 V,  16.824 W
 Thu Apr 24 06:11:22 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.880 V,  16.946 W
 Thu Apr 24 06:11:32 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.640 A,  11.880 V,  16.768 W
 Thu Apr 24 06:11:42 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.640 A,  11.880 V,  16.768 W
 Thu Apr 24 06:11:52 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.903 V,  16.872 W
 Thu Apr 24 06:12:02 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.640 A,  11.903 V,  16.795 W
 Thu Apr 24 06:12:12 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.903 V,  16.991 W
 Thu Apr 24 06:12:22 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.640 A,  11.903 V,  16.991 W
 Thu Apr 24 06:12:32 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.640 A,  11.880 V,  16.780 W
 Thu Apr 24 06:12:42 2014, 00:1e:c0:81:3a:fa,  30.3 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.903 V,  16.913 W
 Thu Apr 24 06:12:52 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.640 A,  11.903 V,  16.854 W
 Thu Apr 24 06:13:02 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.903 V,   0.637 A,  11.880 V,  16.798 W
 Thu Apr 24 06:13:12 2014, 00:1e:c0:81:3a:fa,  30.4 C,   0.964 V,     1,       0,       1,     1  0.770 A,  11.903 V,   0.642 A,  11.880 V,  16.798 W
 Thu Apr 24 06:13:22 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.642 A,  11.880 V,  16.869 W
 Thu Apr 24 06:13:32 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.767 A,  11.903 V,   0.642 A,  11.903 V,  16.783 W
 Thu Apr 24 06:13:42 2014, 00:1e:c0:81:3a:fa,  30.2 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.642 A,  11.880 V,  16.917 W
