                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_C,       V_C,    VADJ_A,    VADJ_B,    VADJ_C,    VADJ_D, Total Power
 Wed Apr 23 13:39:39 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:39:49 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:39:59 2014, 00:1e:c0:81:1d:ac,  46.5 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:40:09 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:40:19 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:40:29 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.441 W
 Wed Apr 23 13:40:39 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.717 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.518 W
 Wed Apr 23 13:40:49 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:40:59 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:41:09 2014, 00:1e:c0:81:1d:ac,  46.5 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:41:19 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:41:29 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:41:39 2014, 00:1e:c0:81:1d:ac,  46.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:41:49 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:41:59 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:42:09 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:42:19 2014, 00:1e:c0:81:1d:ac,  45.8 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:42:29 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:42:39 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:42:49 2014, 00:1e:c0:81:1d:ac,  45.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:42:59 2014, 00:1e:c0:81:1d:ac,  45.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:43:09 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:43:19 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.712 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.462 W
 Wed Apr 23 13:43:29 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:43:39 2014, 00:1e:c0:81:1d:ac,  46.1 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:43:49 2014, 00:1e:c0:81:1d:ac,  46.2 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:43:59 2014, 00:1e:c0:81:1d:ac,  45.5 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:44:09 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:44:19 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.972 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.520 W
 Wed Apr 23 13:44:29 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.972 V,  20.499 W
 Wed Apr 23 13:44:39 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:44:49 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:44:59 2014, 00:1e:c0:81:1d:ac,  45.6 C,   2.390 V,     1,       0,       1,     1,   1.717 A,  11.949 V,   1.186 V,   1.183 V,   0.978 V,   0.973 V,  20.518 W
 Wed Apr 23 13:45:09 2014, 00:1e:c0:81:1d:ac,  46.0 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:45:19 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.481 W
 Wed Apr 23 13:45:29 2014, 00:1e:c0:81:1d:ac,  46.5 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:45:39 2014, 00:1e:c0:81:1d:ac,  46.3 C,   2.390 V,     1,       0,       1,     1,   1.717 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.518 W
 Wed Apr 23 13:45:49 2014, 00:1e:c0:81:1d:ac,  46.6 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:45:59 2014, 00:1e:c0:81:1d:ac,  46.4 C,   2.390 V,     1,       0,       1,     1,   1.714 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.972 V,  20.481 W
 Wed Apr 23 13:46:09 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.185 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
 Wed Apr 23 13:46:19 2014, 00:1e:c0:81:1d:ac,  45.9 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.926 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.460 W
 Wed Apr 23 13:46:29 2014, 00:1e:c0:81:1d:ac,  45.7 C,   2.390 V,     1,       0,       1,     1,   1.716 A,  11.949 V,   1.186 V,   1.184 V,   0.978 V,   0.973 V,  20.499 W
