                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:48:30 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:48:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.637 A,  11.949 V,  17.087 W
 Wed Apr 23 13:48:50 2014, 00:1e:c0:81:3a:fa,  31.4 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.926 V,   0.640 A,  11.949 V,  17.068 W
 Wed Apr 23 13:49:00 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:49:10 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:49:20 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
 Wed Apr 23 13:49:30 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.972 V,   0.637 A,  11.949 V,  17.015 W
 Wed Apr 23 13:49:40 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.949 V,   0.640 A,  11.949 V,  17.057 W
 Wed Apr 23 13:49:50 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:50:00 2014, 00:1e:c0:81:3a:fa,  31.1 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.926 V,   0.640 A,  11.949 V,  17.039 W
 Wed Apr 23 13:50:10 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.972 V,   0.640 A,  11.972 V,  17.120 W
 Wed Apr 23 13:50:20 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.949 V,   0.640 A,  11.949 V,  17.116 W
 Wed Apr 23 13:50:30 2014, 00:1e:c0:81:3a:fa,  31.2 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.640 A,  11.949 V,  17.087 W
 Wed Apr 23 13:50:40 2014, 00:1e:c0:81:3a:fa,  31.3 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.949 V,   0.637 A,  11.949 V,  17.057 W
