                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Wed Apr 23 13:41:20 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:41:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:41:40 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.972 V,  17.012 W
 Wed Apr 23 13:41:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:42:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:42:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:42:20 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:42:30 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:42:40 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:42:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:43:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:30 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:43:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.765 A,  11.949 V,   0.662 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:00 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:44:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:44:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:44:40 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.665 A,  11.949 V,  17.057 W
 Wed Apr 23 13:44:50 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:45:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:10 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:20 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:45:40 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:45:50 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.926 V,   0.662 A,  11.949 V,  16.979 W
 Wed Apr 23 13:46:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:46:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.662 A,  11.949 V,  17.044 W
 Wed Apr 23 13:46:20 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:46:30 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:46:40 2014, 00:1e:c0:81:71:33,  31.4 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:46:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:00 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:10 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:47:40 2014, 00:1e:c0:81:71:33,  31.2 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:47:50 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.760 A,  11.949 V,   0.662 A,  11.949 V,  16.997 W
 Wed Apr 23 13:48:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:48:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:48:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:48:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.972 V,   0.662 A,  11.949 V,  17.044 W
 Wed Apr 23 13:48:40 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:48:50 2014, 00:1e:c0:81:71:33,  31.3 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:49:00 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:49:10 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.926 V,   0.662 A,  11.949 V,  17.009 W
 Wed Apr 23 13:49:20 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:49:30 2014, 00:1e:c0:81:71:33,  31.1 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:49:40 2014, 00:1e:c0:81:71:33,  31.0 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:49:50 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
 Wed Apr 23 13:50:00 2014, 00:1e:c0:81:71:33,  30.9 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.949 V,  17.027 W
 Wed Apr 23 13:50:10 2014, 00:1e:c0:81:71:33,  30.8 C,   0.964 V,     1,       0,       1,     1  0.762 A,  11.949 V,   0.662 A,  11.926 V,  17.012 W
